Date,Emotion,CircleColor,VerseText,CircleColorHex
2025-01-01,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-01-02,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-03,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-01-04,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-01-05,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-01-06,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-01-07,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-01-08,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-09,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-10,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-01-11,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-01-12,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-01-13,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-01-14,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-15,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-16,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-01-17,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-01-18,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-01-19,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-01-20,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-21,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-22,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-01-23,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-01-24,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-01-25,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-01-26,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-27,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-28,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-01-29,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-01-30,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-01-31,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-02-01,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-02-02,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-02-03,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-02-04,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-02-05,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-02-06,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-02-07,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-02-08,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-02-09,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-02-10,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-02-11,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-02-12,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-02-13,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-02-14,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-02-15,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-02-16,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-02-17,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-02-18,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-02-19,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-02-20,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-02-21,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
